query_id,TotalEdits,edits_only_schema,edits_with_terms,edits_with_embeddings,edits_with_nhop
0,17,7,7,6,6
1,17,6,6,7,7
2,11,4,9,9,5
3,17,9,9,9,9
4,12,7,8,7,7
5,20,7,7,11,11
6,19,8,11,8,8
7,48,17,17,18,19
