query_id,TotalEdits,edits_1shot,edits_2shot,edits_3shot,edits_4shot
0,17,17,17,17,17
1,17,17,17,17,17
2,11,11,11,11,11
3,17,10,10,10,11
4,12,9,8,8,8
5,20,12,14,15,15
6,19,10,10,10,10
7,47,20,18,21,20
