query_id,bleu_no_schema,bleu_schema_p,bleu_schema_p_filtered,bleu_schema_po_filtered,bleu_schema_poi_filtered,bleu_schema_poi_filtered_improved_prompt,average
4,0.6345121986589578,0.6611674586480747,0.6761485079852384,0.6812906920601051,0.6957360270810282,0.6382976777936158,0.6645254270378366
5,0.5662924875698782,0.5687858079728669,0.5840963696324782,0.5699701807813479,0.5904470342777688,0.0,0.4799319800390566
6,0.49674705323287294,0.5261602847635195,0.5447222450830058,0.5569065441111315,0.6831760906270412,0.0,0.4679520363029284
7,0.2069001285395712,0.1511744155871932,0.16094962243728062,0.19469889173840157,0.4150653588226055,0.0,0.18813140285417537
12,0.5285029995929577,0.5004252098194646,0.5718897225832791,0.6027020127839131,0.6205936511030913,0.0,0.47068559931378434
Average,0.48659097351884756,0.4815426353582238,0.5075612935442564,0.5211136642949799,0.601003632382307,0.12765953555872317,0.4542452891095563
